Depth,Age,dD
270.05,8628.37,-397.5
270.6,8648.95,-401.9
271.15,8669.01,-392.4
271.7,8689.06,-399.9
272.25,8709.11,-399.3
272.8,8729.8,-396.7
273.35,8750.48,-402.1
273.9,8771.17,-401.8
274.45,8791.95,-397.5
275,8812.73,-400.2
275.55,8833.51,-395
276.1,8854.9,-404.4
276.65,8876.29,-402.1
277.2,8897.68,-397.9
277.75,8917.55,-393.4
278.3,8937.42,-397.7
278.85,8957.3,-397.4
279.4,8977.23,-397.4
279.95,8997.16,-399
280.5,9017.1,-391.8
281.05,9036.97,-392.7
281.6,9056.85,-401.1
282.15,9076.72,-396.1
282.7,9096.68,-397.7
283.25,9116.64,-395.6
283.8,9136.6,-398.6
284.35,9157,-394.9
284.9,9177.41,-394.9
285.45,9197.82,-407.4
286,9218.75,-403.4
286.55,9239.68,-392.2
287.1,9260.62,-400.4
287.65,9279.5,-391.1
288.2,9298.38,-388.5
288.75,9317.27,-394.8
289.3,9337.26,-397.7
289.85,9357.26,-401.2
290.4,9377.26,-391.9
290.95,9396.65,-393.3
291.5,9416.05,-394.3
292.05,9435.45,-395
292.6,9454.41,-392.4
293.15,9473.38,-393.5
293.7,9492.35,-390
294.8,9528.72,-388.5
295.35,9546.9,-394.3
295.9,9567.05,-403.6
296.45,9587.2,-393.3
297,9607.35,-398
297.55,9626.44,-391
298.1,9645.53,-395.8
298.65,9664.62,-386.4
299.2,9683.59,-391.8
299.75,9702.55,-398.2
300.3,9721.51,-391.6
300.85,9739.94,-393.4
301.4,9758.37,-384.4
301.95,9776.8,-391.3
302.5,9794.96,-391
303.05,9813.11,-388.3
303.6,9831.27,-391.4
304.15,9848.91,-382.9
304.7,9866.54,-387.2
305.25,9884.18,-405.5
305.8,9904.3,-391.7
306.35,9924.41,-392.1
306.9,9944.53,-400.4
307.45,9963.54,-386.7
308,9982.56,-394.5
308.55,10001.6,-389.9
309.1,10020.8,-394.7
309.65,10040,-396.6
310.2,10059.3,-388.6
310.75,10078.3,-392.9
311.3,10097.3,-395.2
311.85,10116.4,-389.1
312.4,10134.8,-388.7
312.95,10153.2,-391.8
313.5,10171.7,-388.8
314.05,10190.2,-397.7
314.6,10208.7,-390.4
315.15,10227.1,-382.1
315.7,10245.3,-387.9
316.25,10263.5,-390.6
316.8,10281.7,-393.3
317.35,10300.4,-388.1
317.9,10319.2,-391.6
318.45,10338,-396.9
319,10357.3,-398.7
319.55,10376.7,-386.6
320.1,10396.1,-390.7
320.65,10414.9,-391.2
321.2,10433.7,-389.5
321.75,10452.5,-400.9
322.3,10472.2,-388.6
322.85,10491.9,-397.9
323.4,10511.6,-393
323.95,10531.6,-394.4
324.5,10551.5,-399.4
325.05,10571.5,-388.2
325.6,10589.2,-386.8
326.15,10606.9,-383
326.7,10624.6,-387.5
327.25,10641.6,-390.1
327.8,10658.7,-377.1
328.35,10675.7,-397.4
328.9,10695.3,-390.6
329.45,10714.9,-393.2
330,10734.5,-395.2
330.55,10753.9,-393.7
331.1,10773.3,-392.9
331.65,10792.7,-391.4
332.2,10811.7,-384.5
332.75,10830.6,-394.4
333.3,10849.5,-394.8
333.85,10869.5,-395.8
334.4,10889.5,-396.2
334.95,10909.5,-395.4
335.5,10928.8,-391.7
336.05,10948.1,-390.9
336.6,10967.4,-388
337.15,10986.6,-392.6
337.7,11005.8,-397.7
